startTime,endTime,label
27.02491,27.02502,tissue
27.025,27.02504,tissue
27.02513,27.0252,tissue
27.0252,27.0252,tissue
27.02548,27.02548,tissue
27.02562,27.02562,tissue
27.02626,27.02626,tissue
27.02638,27.02638,tissue
27.02661,27.02667,tissue
27.02674,27.02674,tissue
27.02685,27.02687,tissue
27.02687,27.02693,tissue
27.02697,27.02699,tissue
27.02702,27.02706,tissue
27.02714,27.02714,tissue
27.02719,27.02721,tissue
27.02724,27.02724,tissue
27.02732,27.02732,tissue
27.02746,27.02746,tissue
27.02776,27.02776,tissue
27.02786,27.02786,tissue
27.02797,27.02799,tissue
27.02806,27.02806,tissue
27.02807,27.02813,tissue
27.02808,27.0282,tissue
27.02826,27.02826,tissue
27.0284,27.0284,tissue
27.0285,27.0285,tissue
27.02856,27.02856,tissue
27.02864,27.02864,tissue
27.02875,27.02881,tissue
27.02881,27.02883,tissue
27.02898,27.02898,tissue
27.02909,27.02915,tissue
27.02917,27.0292,tissue
27.02924,27.02924,tissue
27.02936,27.02936,tissue
27.02943,27.02945,tissue
27.02948,27.02948,tissue
27.02977,27.0298,tissue
27.02991,27.02994,tissue
27.03016,27.03016,tissue
27.03023,27.03026,tissue
27.03062,27.03067,tissue
27.03079,27.03085,tissue
27.03146,27.03146,tissue
28.59859,28.59865,tissue
28.61444,28.61449,tissue
28.6145,28.6145,tissue
28.63149,28.63151,tissue
28.6555,28.65554,tissue
28.67928,28.67928,tissue
28.67934,28.67934,tissue
28.67938,28.67943,tissue
28.6795,28.6795,tissue
28.7334,28.7334,tissue
28.78961,28.78963,tissue
28.78978,28.78978,tissue
28.78985,28.78987,tissue
28.78991,28.78994,tissue
28.79,28.79008,tissue
28.79013,28.79015,tissue
28.79021,28.79023,tissue
28.83258,28.83258,tissue
28.83263,28.83265,tissue
28.83276,28.8328,tissue
28.83288,28.83288,tissue
28.89097,28.89099,tissue
28.89109,28.89115,tissue
28.89114,28.89118,tissue
30.10602,30.10606,tissue
30.14548,30.14548,tissue
30.14552,30.14552,tissue
30.29506,30.29506,tissue
30.29542,30.29542,tissue
30.29556,30.29556,tissue
30.29562,30.29562,tissue
30.29566,30.29566,tissue
30.29576,30.29576,tissue
30.29578,30.29583,tissue
30.29584,30.29584,tissue
30.29592,30.29592,tissue
30.29606,30.29606,tissue
30.29612,30.29616,tissue
30.29618,30.29618,tissue
30.29626,30.29626,tissue
30.2963,30.2963,tissue
30.29646,30.29646,tissue
30.29662,30.29662,tissue
30.29668,30.29668,tissue
30.29676,30.2968,tissue
30.29682,30.29682,tissue
30.29682,30.2969,tissue
30.29694,30.29694,tissue
30.29704,30.29704,tissue
30.29714,30.29714,tissue
30.2972,30.2972,tissue
30.28035,30.31421,tissue
30.29746,30.29746,tissue
30.2975,30.29754,tissue
30.29756,30.29756,tissue
30.29758,30.29762,tissue
30.29768,30.29768,tissue
30.29778,30.29778,tissue
30.29783,30.29785,tissue
30.29793,30.29795,tissue
30.29811,30.29814,tissue
30.2982,30.2982,tissue
30.29819,30.29829,tissue
30.29823,30.29833,tissue
30.29839,30.29841,tissue
30.29843,30.29845,tissue
30.29852,30.29852,tissue
30.2986,30.2986,tissue
30.29864,30.29864,tissue
30.2987,30.29878,tissue
30.29878,30.29878,tissue
30.29882,30.2989,tissue
30.29904,30.29904,tissue
30.2991,30.2991,tissue
30.29918,30.29918,tissue
30.2992,30.29925,tissue
30.29926,30.29926,tissue
30.29932,30.29936,tissue
30.29938,30.29939,tissue
30.29942,30.29942,tissue
30.29946,30.29946,tissue
30.2995,30.2995,tissue
30.29958,30.29958,tissue
30.29964,30.29964,tissue
30.31594,30.31594,water
30.31612,30.31612,water
30.3163,30.31634,water
30.31636,30.3164,water
30.31643,30.31646,water
30.3165,30.3165,water
30.31657,30.31659,water
30.31664,30.31664,water
30.31676,30.31676,water
30.3168,30.3168,water
30.31684,30.31684,water
30.31703,30.31705,water
30.3171,30.3171,water
30.31717,30.31723,water
30.31724,30.31724,water
30.31728,30.31728,water
30.31732,30.31732,water
30.31738,30.31738,water
30.31754,30.31754,water
30.31761,30.31763,water
30.31766,30.3177,water
30.31783,30.31789,water
30.3179,30.3179,water
30.31798,30.31814,water
30.3181,30.3181,water
30.31823,30.31825,water
30.3183,30.3183,water
30.31838,30.31838,water
30.31844,30.31844,water
30.3185,30.3185,water
30.31858,30.31858,water
30.31872,30.31872,water
30.3188,30.3188,water
30.31884,30.31884,water
30.3189,30.3189,water
30.31902,30.31902,water
30.31905,30.31915,water
30.34726,30.34726,tissue
30.34742,30.34742,tissue
30.34748,30.34748,tissue
30.34756,30.34756,tissue
30.34762,30.34762,tissue
30.45812,30.45812,water
30.45823,30.45825,tissue
30.4583,30.4583,tissue
30.45833,30.45835,tissue
30.45838,30.45838,tissue
30.45849,30.45851,tissue
30.45854,30.45854,tissue
30.45858,30.45858,tissue
34.6805,34.6805,water
34.68642,34.68646,water
34.68651,34.68653,water
34.68661,34.68663,water
34.68676,34.68681,water
34.68686,34.68698,water
34.68698,34.68698,water
34.68702,34.68702,water
34.68706,34.68706,water
34.68712,34.68712,water
34.68716,34.68716,water
34.68723,34.68729,water
34.68738,34.68738,water
34.68744,34.68748,water
34.68752,34.68752,water
34.68759,34.68765,water
34.68782,34.68782,water
34.6879,34.6879,water
34.68804,34.68804,water
34.68842,34.68842,water
35.97962,35.97962,tissue
36.88903,36.88905,water
36.88925,36.88927,water
36.8895,36.8895,water
36.88988,36.89,water
36.88998,36.88998,water
36.89028,36.89028,water
36.89033,36.89035,water
36.89041,36.89044,water
36.89053,36.89055,water
36.89074,36.89074,water
36.89088,36.89092,water
36.89097,36.89103,water
36.89106,36.89106,water
36.89112,36.89112,water
36.89111,36.89122,water
36.89119,36.89121,water
36.89123,36.89125,water
36.89129,36.89135,water
36.89135,36.89141,water
36.89172,36.89172,water
36.89176,36.89176,water
